ID Caso;Código DANE de Municipio;Municipio;Departamento;Año;Mes;Día;ID Persona;Sexo;Etnia;Ocupación;Calidad de la Víctima o la Baja;Tipo de Población Vulnerable;Militante Político;Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Situación Actual de la Víctima;Edad;Latitud;Longitud
359779;11001;BOGOTA, D.C.;BOGOTA, D. C.;0000;00;00;401213;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,65017303;-74,107359
359780;05001;MEDELLIN;ANTIOQUIA;0000;00;00;401214;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;6,246715564;-75,58171333
359781;19212;CORINTO;CAUCA;0000;00;00;401215;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,173815457;-76,26131419
359782;05541;PENOL;ANTIOQUIA;0000;00;00;401216;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;6,219450549;-75,24282171
359783;13030;ALTOS DEL ROSARIO;BOLIVAR;0000;00;00;401217;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;8,791606399;-74,16504945
359784;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401218;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359785;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401219;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359786;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401220;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359787;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401221;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359788;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401222;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359789;76828;TRUJILLO;VALLE DEL CAUCA;0000;00;00;401223;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,212050806;-76,31880894
359790;52540;POLICARPA;NARIÑO;0000;00;00;401224;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;1,62813872;-77,45926539
359791;13244;EL CARMEN DE BOLIVAR;BOLIVAR;0000;00;00;401225;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;9,718579865;-75,12121573
359792;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401226;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359793;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401227;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359794;66001;PEREIRA;RISARALDA;0000;00;00;401228;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,805680265;-75,71712306
359795;76001;CALI;VALLE DEL CAUCA;0000;00;00;401229;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,414414305;-76,52156515
359797;73624;ROVIRA;TOLIMA;0000;00;00;401231;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,238932685;-75,2408683
359798;05736;SEGOVIA;ANTIOQUIA;0000;00;00;401232;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;7,079639679;-74,70159107
359799;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401233;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359800;05480;MUTATA;ANTIOQUIA;0000;00;00;401234;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;7,242875057;-76,4358754
359801;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401235;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359802;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401236;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359803;05147;CAREPA;ANTIOQUIA;0000;00;00;401237;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;7,755116346;-76,65321034
359804;76113;BUGALAGRANDE;VALLE DEL CAUCA;0000;00;00;401238;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,208331592;-76,15680774
359805;18785;SOLITA;CAQUETA;0000;00;00;401239;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;0,876668003;-75,61973409
359806;52001;PASTO;NARIÑO;0000;00;00;401240;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;1,212124365;-77,27857635
359807;50568;PUERTO GAITAN;META;0000;00;00;401241;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,314487455;-72,08307894
359808;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401242;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359809;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401243;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359810;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401244;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359811;11001;BOGOTA, D.C.;BOGOTA, D. C.;0000;00;00;401245;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,65017303;-74,107359
359812;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401246;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359813;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401247;HOMBRE;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359814;23068;AYAPEL;CORDOBA;0000;00;00;401248;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;8,314446629;-75,14629076
359815;19392;LA SIERRA;CAUCA;0000;00;00;401249;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;2,179322406;-76,76320908
359816;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401250;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359817;25178;CHIPAQUE;CUNDINAMARCA;0000;00;00;401251;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,442671017;-74,04487563
