ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364344,13744,SIMITI,BOLIVAR,2000,6,18,405778,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.9541763755,-73.9473119566
364345,52233,CUMBITARA,NARIÑO,2000,6,20,405779,HOMBRE,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,PRIMERA INFANCIA (0-5 AÑOS),1.646845971,-77.5781467265
364346,13670,SAN PABLO,BOLIVAR,2000,6,20,405780,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.4767206715,-73.924168553
364347,05045,APARTADO,ANTIOQUIA,2000,6,20,405781,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.8834174058,-76.6259606537
364348,13744,SIMITI,BOLIVAR,2000,6,20,405782,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.9541763755,-73.9473119566
364349,05093,BETULIA,ANTIOQUIA,2000,6,21,405783,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.1152555943,-75.9845158732
364350,05607,RETIRO,ANTIOQUIA,2000,6,21,405784,MUJER,COMERCIANTE,CIVIL,VIVA,JUVENTUD (18-28 AÑOS),6.0633799539,-75.5013751615
364351,05890,YOLOMBO,ANTIOQUIA,2000,6,21,405785,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,INFANCIA (6-11 AÑOS),6.5945924336,-75.0133505772
364352,20001,VALLEDUPAR,CESAR,2000,6,22,405786,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,10.4604812152,-73.259389309
364353,05847,URRAO,ANTIOQUIA,2000,6,22,405787,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.317319591,-76.133948666
364354,47980,ZONA BANANERA,MAGDALENA,2000,6,22,405788,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),10.7630268185,-74.140081844
364355,05079,BARBOSA,ANTIOQUIA,2000,6,23,405789,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.4392268816,-75.3316442322
364356,54553,PUERTO SANTANDER,NORTE DE SANTANDER,2000,6,23,405790,HOMBRE,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,,8.360945615,-72.4103137832
364357,54553,PUERTO SANTANDER,NORTE DE SANTANDER,2000,6,23,405791,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),8.360945615,-72.4103137832
364358,86568,PUERTO ASIS,PUTUMAYO,2000,6,23,405792,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),0.5050467219,-76.4972728472
364359,05021,ALEJANDRIA,ANTIOQUIA,2000,6,23,405793,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.3760656759,-75.1413329006
364360,44078,BARRANCAS,LA GUAJIRA,2000,6,24,405794,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.9586667142,-72.7935756661
364361,52399,LA UNION,NARIÑO,2000,6,24,405795,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.6002686127,-77.1311543535
364362,05138,CAÑASGORDAS,ANTIOQUIA,2000,6,24,405796,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),6.7594776844,-76.032209943
364363,27372,JURADO,CHOCO,2000,6,24,405797,MUJER,SIN INFORMACIÓN,CIVIL,VIVA,,7.1036190826,-77.7627509172
364364,76828,TRUJILLO,VALLE DEL CAUCA,2000,6,25,405798,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),4.2120508064,-76.3188089387
364365,20013,AGUSTIN CODAZZI,CESAR,2000,6,25,405799,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.0404579941,-73.2383961682
364366,68655,SABANA DE TORRES,SANTANDER,2000,6,25,405800,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.3919119442,-73.4990501608
364367,05893,YONDO,ANTIOQUIA,2000,6,26,405801,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),7.0039407344,-73.9124579456
364368,05652,SAN FRANCISCO,ANTIOQUIA,2000,6,27,405802,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),5.9640791312,-75.1026869656
